OrderID,OrderDate,OrderYear,OrderMonth,MonthNumber,OrderDayOfWeek,OrderQuarter,Quantity,TotalAmount,CustomerID,CustomerName,Gender,City,Country,EmailDomain,ProductID,ProductName,UnitPrice,Rating,Category
1,2026-01-25,2026,January,1,Sunday,Q1,1,31.77,1519,Kristen Wise,Female,Kevintown,Cameroon,yahoo.com,46,When We Collided,31.77,1,Contemporary
2,2025-11-22,2025,November,11,Saturday,Q4,2,104.3,428,Denise Fuller,Female,New Bradley,Anguilla,yahoo.com,10,The Black Maria,52.15,1,Poetry
3,2025-10-28,2025,October,10,Tuesday,Q4,2,75.18,1790,Derrick Lee,Male,Hortonmouth,Micronesia,hotmail.com,18,Mesaerion: The Best Science Fiction Stories 1800-1849,37.59,1,Science Fiction
4,2025-11-09,2025,November,11,Sunday,Q4,1,22.6,411,Javier Gonzalez,Male,Francismouth,Turkey,gmail.com,9,The Boys in the Boat: Nine Americans and Their Epic Quest for Gold at the 1936 Berlin Olympics,22.6,4,Default
5,2026-04-14,2026,April,4,Tuesday,Q2,1,22.65,1843,Daniel Hess,Male,Shieldsport,Wallis and Futuna,hotmail.com,6,The Requiem Red,22.65,1,Young Adult
6,2025-09-20,2025,September,9,Saturday,Q3,1,50.27,153,Paige Sanchez,Female,East Jenniferland,Aruba,gmail.com,47,"We Love You, Charlie Freeman",50.27,5,Fiction
7,2026-06-07,2026,June,6,Sunday,Q2,3,47.82,1336,Amber Baker,Female,Meyerstad,Timor-Leste,gmail.com,35,Sophie's World,15.94,5,Philosophy
8,2026-01-25,2026,January,1,Sunday,Q1,2,104.3,510,Brianna Beck,Female,Fowlershire,Bhutan,hotmail.com,10,The Black Maria,52.15,1,Poetry
9,2025-09-15,2025,September,9,Monday,Q3,1,33.29,1608,Mary Perez,Female,Markmouth,Marshall Islands,gmail.com,36,Penny Maybe,33.29,3,Default
10,2025-09-09,2025,September,9,Tuesday,Q3,2,114.5,892,Jocelyn Henderson,Female,Port Lisa,Kyrgyz Republic,yahoo.com,16,"Our Band Could Be Your Life: Scenes from the American Indie Underground, 1981-1991",57.25,3,Music
11,2026-07-26,2026,July,7,Sunday,Q3,2,28.54,909,Amanda Graham,Female,Port Daniel,Ukraine,yahoo.com,48,Untitled Collection: Sabbath Poems 2014,14.27,4,Poetry
12,2026-05-22,2026,May,5,Friday,Q2,3,71.46,172,Kathryn Lester,Female,Luisland,Benin,hotmail.com,33,The Elephant Tree,23.82,5,Thriller
13,2025-11-28,2025,November,11,Friday,Q4,2,62.1,1367,Christopher Smith,Male,Lake Kimberlychester,Cyprus,gmail.com,32,The Five Love Languages: How to Express Heartfelt Commitment to Your Mate,31.05,3,Nonfiction
14,2026-03-07,2026,March,3,Saturday,Q1,2,28.54,1989,William Maddox,Male,Charlesville,North Macedonia,hotmail.com,48,Untitled Collection: Sabbath Poems 2014,14.27,4,Poetry
15,2026-07-07,2026,July,7,Tuesday,Q3,3,156.87,1676,Gina Bond,Female,New Kennethshire,Sierra Leone,gmail.com,14,Scott Pilgrim's Precious Little Life (Scott Pilgrim #1),52.29,5,Sequential Art
16,2026-06-11,2026,June,6,Thursday,Q2,3,163.92,1050,Joshua Gardner,Male,Craigville,Macao,gmail.com,26,Birdsong: A Story in Pictures,54.64,3,Childrens
17,2026-06-16,2026,June,6,Tuesday,Q2,3,153.99,490,Eric Mendoza,Male,Thomasbury,Anguilla,gmail.com,19,Libertarianism for Beginners,51.33,2,Politics
