FirstName,LastName,Email,Phone,City,Country,Gender,RegistrationDate,FullName,EmailDomain,Reg_Year,Reg_Month,Reg_DayName,Reg_Quarter,Tenure_Days
Mark,Johnson,mark.johnson@yahoo.com,2323181960,East William,Anguilla,Male,2026-01-26,Mark Johnson,yahoo.com,2026,January,Monday,Q1,225
Cristian,Santos,cristian.santos@hotmail.com,3378940265,West Melanieview,Sri Lanka,Male,2023-11-14,Cristian Santos,hotmail.com,2023,November,Tuesday,Q4,1029
Monica,Herrera,monica.herrera@yahoo.com,5846959310,Port Jesseville,Hong Kong,Female,2024-11-12,Monica Herrera,yahoo.com,2024,November,Tuesday,Q4,665
Jesse,Flowers,jesse.flowers@gmail.com,6535419283,Meganton,Denmark,Male,2023-10-27,Jesse Flowers,gmail.com,2023,October,Friday,Q4,1047
Robert,Morales,robert.morales@gmail.com,4955376724,Juliechester,Ukraine,Male,2026-03-02,Robert Morales,gmail.com,2026,March,Monday,Q1,190
James,Robinson,james.robinson@gmail.com,6712012269,Lake Nicoleview,Seychelles,Male,2026-05-30,James Robinson,gmail.com,2026,May,Saturday,Q2,101
Gerald,Carter,gerald.carter@gmail.com,7044828148,New Mariotown,Bouvet Island (Bouvetoya),Male,2025-03-24,Gerald Carter,gmail.com,2025,March,Monday,Q1,533
Shawn,Decker,shawn.decker@yahoo.com,4034911718,Arroyoburgh,Estonia,Male,2025-12-05,Shawn Decker,yahoo.com,2025,December,Friday,Q4,277
Shelia,Henderson,shelia.henderson@gmail.com,15345657871,West Andrewside,Denmark,Female,2026-03-10,Shelia Henderson,gmail.com,2026,March,Tuesday,Q1,182
Daniel,Jones,daniel.jones@hotmail.com,9315051834,Lake Selena,Montserrat,Male,2026-02-19,Daniel Jones,hotmail.com,2026,February,Thursday,Q1,201
John,Mueller,john.mueller@yahoo.com,3112656670,Chandlerville,Egypt,Male,2024-07-01,John Mueller,yahoo.com,2024,July,Monday,Q3,799
Connor,West,connor.west@yahoo.com,2473317810,East Richard,Liberia,Male,2024-08-05,Connor West,yahoo.com,2024,August,Monday,Q3,764
Sean,Barrera,sean.barrera@gmail.com,2062474687,Brianshire,Lesotho,Male,2025-10-28,Sean Barrera,gmail.com,2025,October,Tuesday,Q4,315
Thomas,Schmidt,thomas.schmidt@gmail.com,3128191361,Sarahborough,Paraguay,Male,2025-01-08,Thomas Schmidt,gmail.com,2025,January,Wednesday,Q1,608
David,Foster,david.foster@hotmail.com,16474510799,Nicolebury,Heard Island and McDonald Islands,Male,2024-11-23,David Foster,hotmail.com,2024,November,Saturday,Q4,654
Christopher,Bass,christopher.bass@hotmail.com,6986084124,Lake Matthew,Poland,Male,2026-05-20,Christopher Bass,hotmail.com,2026,May,Wednesday,Q2,111
Sarah,Wagner,sarah.wagner@yahoo.com,4169400524,Hoffmanville,Belarus,Female,2026-08-16,Sarah Wagner,yahoo.com,2026,August,Sunday,Q3,23
Stuart,Gardner,stuart.gardner@yahoo.com,17825620450,Lake Curtis,Slovakia (Slovak Republic),Male,2026-01-24,Stuart Gardner,yahoo.com,2026,January,Saturday,Q1,227
Stacey,Russell,stacey.russell@hotmail.com,13238226025,Port Thomasborough,Svalbard & Jan Mayen Islands,Female,2025-08-23,Stacey Russell,hotmail.com,2025,August,Saturday,Q3,381
Hannah,Hoover,hannah.hoover@gmail.com,8037654145,North Natalieview,Christmas Island,Female,2026-02-25,Hannah Hoover,gmail.com,2026,February,Wednesday,Q1,195
Victor,Baker,victor.baker@gmail.com,12658569816,New Saraside,Poland,Male,2026-07-15,Victor Baker,gmail.com,2026,July,Wednesday,Q3,55
Craig,Reynolds,craig.reynolds@hotmail.com,8958148465,New Ashley,Iraq,Male,2026-01-06,Craig Reynolds,hotmail.com,2026,January,Tuesday,Q1,245
Sandra,Torres,sandra.torres@gmail.com,7993577738,Lake Lance,Sri Lanka,Female,2024-07-13,Sandra Torres,gmail.com,2024,July,Saturday,Q3,787
Brittany,Williams,brittany.williams@yahoo.com,13178693676,East Linda,Qatar,Female,2025-11-20,Brittany Williams,yahoo.com,2025,November,Thursday,Q4,292
Julie,Grant,julie.grant@gmail.com,9274889579,Colebury,Tajikistan,Female,2026-05-25,Julie Grant,gmail.com,2026,May,Monday,Q2,106
Donald,Strickland,donald.strickland@yahoo.com,14345714345,Bensonborough,Bahrain,Male,2025-06-13,Donald Strickland,yahoo.com,2025,June,Friday,Q2,452
Jason,Daniels,jason.daniels@yahoo.com,2367690967,Karenchester,Mauritania,Male,2026-01-03,Jason Daniels,yahoo.com,2026,January,Saturday,Q1,248
Rebecca,Hurst,rebecca.hurst@yahoo.com,9464706562,South Brittanytown,Belize,Female,2026-06-02,Rebecca Hurst,yahoo.com,2026,June,Tuesday,Q2,98
Jeffrey,Camacho,jeffrey.camacho@gmail.com,6468537556,Maryfort,Andorra,Male,2025-12-23,Jeffrey Camacho,gmail.com,2025,December,Tuesday,Q4,259
Anthony,Crane,anthony.crane@gmail.com,15109033092,Katieburgh,New Caledonia,Male,2026-04-08,Anthony Crane,gmail.com,2026,April,Wednesday,Q2,153
Tracey,Higgins,tracey.higgins@gmail.com,6193049663,West Amandastad,Bangladesh,Female,2025-11-01,Tracey Higgins,gmail.com,2025,November,Saturday,Q4,311
Matthew,Smith,matthew.smith@yahoo.com,9168572628,Marcusbury,Switzerland,Male,2024-01-20,Matthew Smith,yahoo.com,2024,January,Saturday,Q1,962
Diana,Hayes,diana.hayes@yahoo.com,15967507527,Matthewview,Moldova,Female,2023-09-23,Diana Hayes,yahoo.com,2023,September,Saturday,Q3,1081
Kellie,Lee,kellie.lee@gmail.com,15676837770,Thomashaven,Guatemala,Female,2025-06-29,Kellie Lee,gmail.com,2025,June,Sunday,Q2,436
Yesenia,Pierce,yesenia.pierce@yahoo.com,15745443135,Hillshire,Senegal,Female,2025-11-30,Yesenia Pierce,yahoo.com,2025,November,Sunday,Q4,282
Kyle,Hooper,kyle.hooper@gmail.com,4359240824,Port Alexanderport,Latvia,Male,2025-09-20,Kyle Hooper,gmail.com,2025,September,Saturday,Q3,353
Jessica,Lopez,jessica.lopez@gmail.com,6713167190,North Angela,Israel,Female,2026-04-06,Jessica Lopez,gmail.com,2026,April,Monday,Q2,155
Kyle,Montgomery,kyle.montgomery@hotmail.com,5776496499,East Johnside,Belarus,Male,2024-05-08,Kyle Montgomery,hotmail.com,2024,May,Wednesday,Q2,853
April,Hayes,april.hayes@hotmail.com,3405344713,West Margaret,Barbados,Female,2023-12-09,April Hayes,hotmail.com,2023,December,Saturday,Q4,1004
Christopher,Parker,christopher.parker@hotmail.com,19479174648,New Billchester,Saint Pierre and Miquelon,Male,2025-01-20,Christopher Parker,hotmail.com,2025,January,Monday,Q1,596
Lindsey,Johnson,lindsey.johnson@gmail.com,18999049027,South Michaelmouth,Gibraltar,Female,2026-07-15,Lindsey Johnson,gmail.com,2026,July,Wednesday,Q3,55
Ashley,Martin,ashley.martin@yahoo.com,18742680715,Gutierrezborough,Maldives,Female,2025-03-23,Ashley Martin,yahoo.com,2025,March,Sunday,Q1,534
