EmployeeID,FirstName,LastName,FullName,Email,Phone,Gender,JobTitle,Department,HireDate,Salary,CommissionRate,PerformanceScore,OfficeLocation,Hire_Year,Hire_Month,Tenure_Years,Orders_Count,Total_Sales,Avg_Order_Value,Total_Commission
1,Mark,Johnson,Mark Johnson,mark.johnson@ecombooks.com,5335218196,Male,Junior Sales Associate,Online Retail,2024-11-02,3959.0,0.02,3.7,London Branch,2024,November,1.9,289,31223.42,108.04,624.47
2,Lance,Hoffman,Lance Hoffman,lance.hoffman@ecombooks.com,14865379402,Male,Sales Team Lead,Direct Sales,2025-12-08,7209.0,0.05,4.4,Dubai Center,2025,December,0.8,314,32238.35,102.67,1611.92
3,George,Davis,George Davis,george.davis@ecombooks.com,8553940781,Male,Customer Success Specialist,Customer Success,2025-01-13,4232.0,0.02,3.3,New York HQ,2025,January,1.7,329,32904.11,100.01,658.08
4,Edward,Fuller,Edward Fuller,edward.fuller@ecombooks.com,9937103413,Male,Sales Representative,Direct Sales,2023-05-19,4717.0,0.03,4.3,Dubai Center,2023,May,3.3,316,30763.47,97.35,922.9
5,Jacob,Clark,Jacob Clark,jacob.clark@ecombooks.com,7192283276,Male,Sales Team Lead,Direct Sales,2023-08-30,8330.0,0.05,4.5,Tokyo Hub,2023,August,3.0,302,31453.33,104.15,1572.67
6,Rodney,Trujillo,Rodney Trujillo,rodney.trujillo@ecombooks.com,5416395376,Male,Key Account Manager,Corporate Accounts,2025-11-12,7706.0,0.05,3.7,New York HQ,2025,November,0.8,312,31794.49,101.91,1589.72
7,Kevin,Hurst,Kevin Hurst,kevin.hurst@ecombooks.com,3538287101,Male,Sales Team Lead,Direct Sales,2024-04-23,7865.0,0.05,3.8,London Branch,2024,April,2.4,334,32553.57,97.47,1627.68
8,Kyle,Mcdonald,Kyle Mcdonald,kyle.mcdonald@ecombooks.com,2806184514,Male,Senior Sales Executive,Corporate Accounts,2024-10-25,5709.0,0.04,3.4,New York HQ,2024,October,1.9,315,30827.4,97.86,1233.1
9,Pamela,Romero,Pamela Romero,pamela.romero@ecombooks.com,2487932528,Female,Senior Sales Executive,Corporate Accounts,2024-10-07,6736.0,0.04,3.7,New York HQ,2024,October,1.9,312,31298.04,100.31,1251.92
10,Alicia,Hickman,Alicia Hickman,alicia.hickman@ecombooks.com,4306391171,Female,Customer Success Specialist,Customer Success,2024-12-06,3927.0,0.02,5.0,Tokyo Hub,2024,December,1.8,287,30792.09,107.29,615.84
